term,papers,category,secondary,model,prompt_sha,created_at
wastewater treatment,29,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627303+00:00
bioactive compound recovery,29,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627307+00:00
economic benefits,29,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627312+00:00
fertilizer production,29,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627315+00:00
sustainable agriculture,29,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627320+00:00
development strategies,29,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627324+00:00
enhance understanding,28,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627328+00:00
zero emissions,28,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627332+00:00
pollutant removal,28,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627336+00:00
value-added products,28,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627340+00:00
business model development,28,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627344+00:00
phosphorus recovery,27,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627348+00:00
disassembly sequence optimization,27,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627352+00:00
identify research gaps,27,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627356+00:00
reduce plastic pollution,27,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627360+00:00
dye removal,27,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627365+00:00
methane production,27,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627368+00:00
performance evaluation,26,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627373+00:00
improve performance,26,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627377+00:00
risk reduction,26,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627382+00:00
framework development,25,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627386+00:00
food security,25,social_behavioral_educational,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627390+00:00
nutrient enhancement,25,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627395+00:00
supply chain sustainability,24,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627399+00:00
promote development,24,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627403+00:00
material property enhancement,24,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627407+00:00
identify influencing factors,23,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627411+00:00
analyze relationship,23,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627415+00:00
catalysis,23,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627419+00:00
identify drivers and barriers,23,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627424+00:00
understanding consumer behavior,23,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627427+00:00
business sustainability,23,economic_business,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:11.627432+00:00
financial performance,23,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626479+00:00
material sustainability,23,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626504+00:00
water reuse,22,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626607+00:00
policy recommendations,22,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626620+00:00
product lifetime extension,22,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626624+00:00
plastic degradation,22,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626628+00:00
circular practices,22,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626640+00:00
purchase intention,22,social_behavioral_educational,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626644+00:00
sustainable urban development,22,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626647+00:00
sustainable business model,21,economic_business,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626651+00:00
consumer acceptance,21,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626655+00:00
advance collaboration,21,social_behavioral_educational,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626658+00:00
environmental conservation,21,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626661+00:00
soil improvement,21,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626664+00:00
sustainable solutions,20,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626667+00:00
sustainable alternatives,20,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626671+00:00
energy consumption reduction,20,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626674+00:00
consumer perception,20,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626677+00:00
nutrient recycling,20,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626681+00:00
ce performance,20,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626684+00:00
business model innovation,19,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626687+00:00
heavy metal removal,19,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626690+00:00
monomer recovery,19,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626693+00:00
soil amendment,19,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626697+00:00
by-product valorization,19,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626700+00:00
material upcycling,19,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626703+00:00
bioenergy production,19,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626712+00:00
resource saving,19,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626715+00:00
disposal,19,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626718+00:00
circular product design,18,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626722+00:00
conceptual framework,18,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626725+00:00
sustainable transition,18,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626728+00:00
identify best practices,18,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626732+00:00
adoption,18,social_behavioral_educational,economic_business|governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626735+00:00
material circularity,18,material_technical,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626739+00:00
improve e-waste management,18,material_technical,environmental|governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626742+00:00
eco-innovation,18,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626745+00:00
green transformation,18,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626749+00:00
rural development,18,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626752+00:00
selective recovery,18,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:14.626755+00:00
enzyme production,18,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080072+00:00
biomass production,18,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080109+00:00
feasibility assessment,18,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080113+00:00
energy storage,17,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080117+00:00
policy implementation,17,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080120+00:00
accurate sorting,17,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080124+00:00
supply chain resilience,17,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080127+00:00
catalytic activity,17,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080130+00:00
sustainable tourism development,17,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080134+00:00
environmental awareness,17,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080137+00:00
develop green economy,17,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080140+00:00
sustainable use,16,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080143+00:00
sustainability integration,16,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080147+00:00
value recovery,16,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080150+00:00
supplier selection,16,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080153+00:00
governance,16,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080156+00:00
sustainable construction,16,material_technical,environmental|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080161+00:00
ecological transition,16,environmental,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080164+00:00
risk assessment,16,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080167+00:00
strength prediction,16,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080171+00:00
biodiesel production,16,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080175+00:00
design for reuse,16,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080178+00:00
esg compliance,16,governance_institutional,environmental|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080181+00:00
sludge reduction,15,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080184+00:00
comprehensive evaluation,15,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080188+00:00
landfill reduction,15,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080191+00:00
accelerate transition,15,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080194+00:00
cost minimization,15,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080197+00:00
assess performance,15,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080200+00:00
effective management,15,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080203+00:00
sustainable manufacturing,15,material_technical,environmental|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080207+00:00
sustainable resource management,15,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080211+00:00
polyphenol recovery,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080214+00:00
transparency,15,governance_institutional,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080217+00:00
thermal insulation,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080220+00:00
aggregate replacement,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080223+00:00
literature review,15,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080231+00:00
antibacterial activity,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080234+00:00
material efficiency,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080237+00:00
identify ce practices,15,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:17.080241+00:00
adsorbent regeneration,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070221+00:00
material properties,15,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070264+00:00
organizational performance,15,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070270+00:00
fuel production,14,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070276+00:00
biofuel production,14,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070280+00:00
protein recovery,14,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070285+00:00
firm performance,14,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070289+00:00
economic viability,14,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070293+00:00
wastewater reuse,14,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070299+00:00
support ce transition,14,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070303+00:00
achieving sdgs,14,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070307+00:00
sustainable design,14,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070339+00:00
sustainability and efficiency,14,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070344+00:00
industry development,14,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070348+00:00
improve soil fertility,14,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070352+00:00
decision support,14,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070356+00:00
policy development,14,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070360+00:00
environmental remediation,14,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070364+00:00
product development,14,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070368+00:00
regional development,14,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070372+00:00
economic feasibility,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070377+00:00
transformation,13,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070380+00:00
environmental safety,13,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070385+00:00
sustainable transformation,13,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070389+00:00
economic transformation,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070393+00:00
sustainable utilization,13,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070397+00:00
low-carbon economy,13,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070400+00:00
biomass valorization,13,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070404+00:00
social impact,13,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070408+00:00
energy generation,13,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070412+00:00
energy production,13,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070416+00:00
waste diversion,13,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070420+00:00
reverse logistics,13,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070423+00:00
systemic transformation,13,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070427+00:00
supply chain management,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070431+00:00
societal change,13,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070435+00:00
identify critical success factors,13,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070438+00:00
improve productivity,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070443+00:00
reduce production cost,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070447+00:00
improve production efficiency,13,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:19.070451+00:00
environmental resilience,13,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332051+00:00
enhance resilience,13,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332149+00:00
valorization of bioactive compounds,13,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332156+00:00
co2 capture,13,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332162+00:00
antimicrobial applications,13,material_technical,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332170+00:00
increase collection rate,13,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332175+00:00
indicator development,12,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332181+00:00
information sharing,12,social_behavioral_educational,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332188+00:00
verify applicability,12,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332194+00:00
material replacement,12,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332201+00:00
evaluation index system,12,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332208+00:00
material flow analysis,12,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332214+00:00
carbon capture,12,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332219+00:00
penguatan kelembagaan,12,governance_institutional,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332226+00:00
making supply chain circular,12,general_cross_domain,material_technical|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332234+00:00
capacity building,12,social_behavioral_educational,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332239+00:00
standardization,12,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332246+00:00
property enhancement,12,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332252+00:00
industrial symbiosis,12,general_cross_domain,material_technical|economic_business|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332258+00:00
lithium recovery,12,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332262+00:00
coordinated development,12,governance_institutional,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332270+00:00
sustainable innovation,12,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332276+00:00
assess ce strategies,12,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332281+00:00
lactic acid production,12,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332286+00:00
improve operational efficiency,12,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332292+00:00
food packaging,12,material_technical,environmental|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332297+00:00
identify research directions,12,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332302+00:00
resource productivity,12,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332307+00:00
economic security,12,economic_business,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332312+00:00
profitability analysis,12,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332317+00:00
separation process,12,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332322+00:00
bioactive compound extraction,12,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332327+00:00
green innovation,12,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332332+00:00
skill development,12,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332337+00:00
vzpostavitev verig vrednosti,12,economic_business,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:17:21.332342+00:00
