kind,term,papers,freq_stratum,human_category,human_notes
objective,phenolic removal cod removal,1,mid,material_technical,
technique,transglycosylation,1,head,material_process_or_technology,
objective,redefine legal concept,1,mid,governance_institutional,
technique,phytocomplexes,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,prioritize ce barriers,1,tail,methodological_knowledge,
technique,coupled ced-ip,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
technique,industrialization,5,head,systemic_or_organizational_practice,
objective,raise economic welfare,2,head,economic_business,
objective,economic effect,1,tail,economic_business,
technique,waste legislation,1,head,systemic_or_organizational_practice,
objective,strengthening rules,1,head,governance_institutional,
technique,solid-phase mixing,2,head,material_process_or_technology,
technique,donation platform,1,mid,systemic_or_organizational_practice,
objective,environmental impact reduction material recovery,5,head,environmental,
objective,material recovery emissions reduction,11,head,environmental,
objective,measuring ce levels,1,mid,methodological_knowledge,
objective,optimization of marine industries structure,1,mid,economic_business,
objective,occurrence and fate,1,tail,methodological_knowledge,
technique,outlook,1,head,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,circular economy parks,3,head,general_cross_domain,
technique,community-based circular food systems,1,mid,systemic_or_organizational_practice,
objective,analysis of typologies,1,tail,methodological_knowledge,
objective,measure formal and informal environmental management systems,1,mid,methodological_knowledge,
objective,investment supply financing,1,mid,economic_business,
technique,sbm-dea model,3,head,research_or_assessment_method,
objective,improve environment,3,head,environmental,
objective,technical and environmental aspects,1,head,general_cross_domain,
objective,business survivability,1,mid,economic_business,
objective,governance,16,head,governance_institutional,
objective,prevention of post-harvest loss,1,tail,material_technical,
objective,regulate practice,1,mid,governance_institutional,
objective,greenized utilization,1,tail,environmental,
objective,sustainable use,16,head,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,reusability after fire,1,mid,material_technical,
objective,profit margin optimization,1,tail,economic_business,
technique,bibliographic coupling,1,mid,research_or_assessment_method,
technique,consumer education,3,head,systemic_or_organizational_practice,
objective,promote park development,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,determine sustainability aspects,1,mid,methodological_knowledge,
technique,melting once,1,tail,material_process_or_technology,
objective,optimize asset performance,1,head,economic_business,
technique,descriptive statistics t-statistics multiple regression models,1,tail,research_or_assessment_method,
objective,critical element recovery,1,tail,material_technical,
technique,green tax,1,tail,systemic_or_organizational_practice,
technique,urban cadastre,1,tail,systemic_or_organizational_practice,
technique,panel data estimation,1,mid,research_or_assessment_method,
objective,waste separation targets,1,mid,governance_institutional,
objective,barrier identification,3,head,methodological_knowledge,
technique,collaborative approach,2,head,systemic_or_organizational_practice,
technique,scientific theories best practices,1,mid,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
technique,policy actions,1,head,systemic_or_organizational_practice,
technique,process integration,3,head,material_process_or_technology,
technique,education for steady-state and circular economy,1,mid,systemic_or_organizational_practice,
technique,waste hierarchy circular economy approach,1,tail,systemic_or_organizational_practice,
technique,entrepreneurial innovation analysis,1,mid,research_or_assessment_method,
objective,eco-innovative solutions,3,head,economic_business,
technique,contemporary sorting technologies,1,mid,material_process_or_technology,
technique,waste disposal and regeneration use,1,tail,material_process_or_technology,
objective,accelerate transition,15,head,general_cross_domain,
objective,support decision-makers develop regional policies,1,mid,governance_institutional,
objective,develop multidimensional indicators,1,head,methodological_knowledge,
objective,determine institutional framework,1,tail,governance_institutional,
objective,outline a framework,1,tail,methodological_knowledge,
objective,sustainable use ecosystems,1,mid,environmental,
objective,green entrepreneurship,4,head,economic_business,
objective,efficiency promotion,1,mid,economic_business,
technique,bending test,1,head,research_or_assessment_method,
technique,formal legal,1,mid,systemic_or_organizational_practice,
objective,enhance chilli growth,1,mid,material_technical,
objective,barrier material fabrication,1,tail,material_technical,
objective,improve efficiency of labor,1,tail,economic_business,
objective,connotation discussion,1,tail,methodological_knowledge,
objective,enhance state capacities,1,tail,governance_institutional,
technique,microbial metabolism,1,mid,material_process_or_technology,
technique,green extraction and crosslinking,1,mid,material_process_or_technology,
objective,economic growth,41,head,economic_business,
technique,aqueous extraction microfiltration nanofiltration,1,tail,material_process_or_technology,
technique,simplified approach,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,occupational risk reduction,1,tail,social_behavioral_educational,
technique,mobile application,8,head,material_process_or_technology,
technique,chemical bleaching,1,mid,material_process_or_technology,
technique,food system analyses,1,tail,research_or_assessment_method,
objective,conceptual clarification,3,head,methodological_knowledge,
objective,valuation transparency,1,mid,economic_business,
objective,predict concrete strength,1,head,material_technical,
objective,security determinants,1,head,methodological_knowledge,
technique,electrocatalysis lignin depolymerization,1,tail,material_process_or_technology,
technique,health technology assessment,1,tail,research_or_assessment_method,
technique,big data iot,1,tail,material_process_or_technology,
technique,computer art,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,integrate csr and ce,1,mid,general_cross_domain,
objective,stable and effective development,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,condition diagnosis,1,mid,methodological_knowledge,
objective,antibacterial activity-enhanced agnps,1,mid,material_technical,
technique,dematel anp promethee ii,1,mid,research_or_assessment_method,
objective,new retail model,1,tail,economic_business,
technique,hegelian understanding,1,mid,research_or_assessment_method,
objective,evaluate bioeconomy status,1,mid,methodological_knowledge,
technique,solar energy utilization wind power development straw electricity technology energy saving and green construction technology,1,mid,material_process_or_technology,
objective,metabolic effect assessment,1,mid,methodological_knowledge,
technique,database and survey,1,tail,research_or_assessment_method,
technique,oxidation of tcc,1,tail,material_process_or_technology,
technique,techno-economic analysis life cycle assessment,7,head,research_or_assessment_method,
technique,waste-to-value,1,tail,material_process_or_technology,
technique,strategy formulation,1,tail,systemic_or_organizational_practice,
objective,identify design skills,1,tail,social_behavioral_educational,
technique,bim model view definition,1,head,material_process_or_technology,
objective,technical and economical evaluation,1,mid,methodological_knowledge,
technique,pinch point technology,1,mid,material_process_or_technology,
technique,linear discriminant analysis,1,head,research_or_assessment_method,
objective,resilience planning,1,tail,governance_institutional,
objective,lower costs,1,tail,economic_business,
technique,right to repair,1,tail,systemic_or_organizational_practice,
technique,bibliographic survey interviews questionnaires,1,mid,research_or_assessment_method,
technique,hplc-ms profiling,1,head,research_or_assessment_method,
technique,semantic content analysis,1,tail,research_or_assessment_method,
technique,fixed effects tobit approach,1,mid,research_or_assessment_method,
objective,assess environmental health,1,mid,methodological_knowledge,
objective,prolong metal sustainability,1,head,material_technical,
technique,alkaline stabilization and composting,1,tail,material_process_or_technology,
objective,obstacles and mistakes,1,mid,methodological_knowledge,
technique,pyrometallurgical hydrometallurgical biohydrometallurgy direct recycling,1,tail,material_process_or_technology,
technique,cap and trade,1,tail,systemic_or_organizational_practice,
objective,zero-footprint eco-robots,1,head,material_technical,
objective,incentive systems,1,tail,governance_institutional,
technique,industrial distribution,1,mid,systemic_or_organizational_practice,
objective,innovation mediation,1,head,economic_business,
objective,optimize adsorbent properties,1,tail,material_technical,
objective,assess benefits,5,head,methodological_knowledge,
technique,bank sampah,1,head,systemic_or_organizational_practice,
objective,identify consumer indications,1,head,methodological_knowledge,
objective,cost effectiveness resilience carbon footprint reduction,1,mid,general_cross_domain,
objective,promote green consumption,1,tail,social_behavioral_educational,
objective,norm diffusion,5,head,social_behavioral_educational,
objective,analyze publication stage,1,tail,methodological_knowledge,
technique,anaerobic digestion composting,8,head,material_process_or_technology,
objective,reduce social and environmental costs,1,head,general_cross_domain,
objective,ce maturity,1,head,methodological_knowledge,
objective,purification of phenolic compounds,1,mid,material_technical,
objective,technological transfer,1,mid,economic_business,
technique,hydrolysis crosslinking,1,head,material_process_or_technology,
objective,decouple material consumption,1,tail,environmental,
technique,software development,2,head,material_process_or_technology,
objective,eco-industrial zones,1,tail,general_cross_domain,
objective,teach ce c2c models,1,mid,social_behavioral_educational,
objective,decarbonization of energy matrix,1,tail,environmental,
technique,strategic model development,1,tail,research_or_assessment_method,
technique,ring-oscillators,1,tail,material_process_or_technology,
technique,liquid-cooled plate,1,head,material_process_or_technology,
objective,normative reconstruction,1,head,governance_institutional,
technique,deposit refund system,3,head,systemic_or_organizational_practice,
objective,calculating dynamic material flow,1,head,methodological_knowledge,
technique,framework indicators,1,mid,research_or_assessment_method,
objective,determine recyclable ratio,1,tail,methodological_knowledge,
technique,element design,1,head,material_process_or_technology,
technique,recycling and second life,1,tail,material_process_or_technology,
technique,multi-level scale,1,head,research_or_assessment_method,
objective,sustainable design material recovery,1,mid,material_technical,
objective,mutual benefits,2,head,economic_business,
technique,acetic acid leaching,1,mid,material_process_or_technology,
objective,evaluate the practicality of an analytical method,1,tail,methodological_knowledge,
technique,circular economy paths,1,tail,systemic_or_organizational_practice,
objective,business knowledge management,1,head,economic_business,
objective,change in mindset enhanced integration,1,head,social_behavioral_educational,
technique,hydrogen reduction,2,head,material_process_or_technology,
technique,mutual learning,1,mid,systemic_or_organizational_practice,
objective,developing implementation tools,1,mid,methodological_knowledge,
objective,analyze organisations behaviour,1,mid,methodological_knowledge,
objective,consumer satisfaction,4,head,economic_business,
objective,clarify legal basis,1,head,governance_institutional,
technique,function management,1,tail,systemic_or_organizational_practice,
objective,shape future policies,1,tail,governance_institutional,
objective,managerial practices assessment,1,mid,methodological_knowledge,
objective,knowledge transfer,7,head,social_behavioral_educational,
technique,review building sector models,1,mid,research_or_assessment_method,
technique,carbon direct avoidance smart carbon usage,1,head,systemic_or_organizational_practice,
technique,nature-based solutions,8,head,material_process_or_technology,
technique,transdisciplinary integration,1,mid,research_or_assessment_method,
technique,sustainable innovations,2,head,systemic_or_organizational_practice,
technique,waste reduction,3,head,systemic_or_organizational_practice,
technique,lean management,13,head,systemic_or_organizational_practice,
technique,waste footprint analysis,1,head,research_or_assessment_method,
technique,hpp-assisted extraction,1,mid,material_process_or_technology,
objective,methylene blue removal,1,head,material_technical,
objective,profit and environment,1,head,general_cross_domain,
technique,scientific management,1,tail,systemic_or_organizational_practice,
objective,sustainability in b2b,1,mid,economic_business,
objective,electricity access,1,mid,social_behavioral_educational,
technique,integrated construction,1,mid,systemic_or_organizational_practice,
objective,adapting private law,1,tail,governance_institutional,
technique,circular economic chains,1,mid,systemic_or_organizational_practice,
objective,agricultural cycle economy development,1,mid,general_cross_domain,
objective,develop theory,1,mid,methodological_knowledge,
objective,organizational development,1,head,economic_business,
technique,computer vision,5,head,material_process_or_technology,
objective,economic and environmental welfare,1,tail,general_cross_domain,
objective,financial support,8,head,economic_business,
technique,electron microscopy xrd analysis,1,head,research_or_assessment_method,
objective,removal of fluoride and arsenic,1,mid,material_technical,
objective,optimize abp management enhance biogas yield,1,tail,material_technical,
objective,establish operational mechanism,1,tail,governance_institutional,
technique,precision agriculture genomic technologies improved breeding programmes farm mechanisation rd,1,mid,material_process_or_technology,
objective,identify leading countries,1,mid,methodological_knowledge,
objective,shape consumer perceptions,1,tail,social_behavioral_educational,
technique,business and environmental management framework,1,mid,systemic_or_organizational_practice,
technique,360 model,1,tail,ambiguous_context_required,term alone does not provide enough context for a reliable domain assignment
objective,spatiotemporal evolution characteristics,1,tail,methodological_knowledge,
objective,environmental resilience,13,head,environmental,
objective,circular development,3,head,general_cross_domain,
technique,boat design,1,tail,material_process_or_technology,
technique,environmental balances analysis,1,mid,research_or_assessment_method,
objective,socio-environmental impact,1,tail,general_cross_domain,
objective,competitive edges,1,tail,economic_business,
