kind,term,category
objective,resilience planning,governance_institutional
objective,lower costs,economic_business
technique,right to repair,systemic_or_organizational_practice
technique,bibliographic survey interviews questionnaires,research_or_assessment_method
technique,hplc-ms profiling,research_or_assessment_method
technique,semantic content analysis,research_or_assessment_method
technique,fixed effects tobit approach,research_or_assessment_method
objective,assess environmental health,environmental
objective,prolong metal sustainability,material_technical
technique,alkaline stabilization and composting,material_process_or_technology
objective,obstacles and mistakes,ambiguous_context_required
technique,pyrometallurgical hydrometallurgical biohydrometallurgy direct recycling,material_process_or_technology
technique,cap and trade,systemic_or_organizational_practice
objective,zero-footprint eco-robots,material_technical
objective,incentive systems,governance_institutional
technique,industrial distribution,systemic_or_organizational_practice
objective,innovation mediation,social_behavioral_educational
objective,optimize adsorbent properties,material_technical
objective,assess benefits,ambiguous_context_required
technique,bank sampah,systemic_or_organizational_practice
objective,identify consumer indications,social_behavioral_educational
objective,cost effectiveness resilience carbon footprint reduction,general_cross_domain
objective,promote green consumption,social_behavioral_educational
objective,norm diffusion,social_behavioral_educational
objective,analyze publication stage,methodological_knowledge
technique,anaerobic digestion composting,material_process_or_technology
objective,reduce social and environmental costs,general_cross_domain
objective,ce maturity,methodological_knowledge
objective,purification of phenolic compounds,material_technical
objective,technological transfer,economic_business
technique,hydrolysis crosslinking,material_process_or_technology
objective,decouple material consumption,general_cross_domain
technique,software development,ambiguous_context_required
objective,eco-industrial zones,environmental
objective,teach ce c2c models,social_behavioral_educational
objective,decarbonization of energy matrix,environmental
technique,strategic model development,research_or_assessment_method
technique,ring-oscillators,ambiguous_context_required
technique,liquid-cooled plate,material_process_or_technology
objective,normative reconstruction,methodological_knowledge
technique,deposit refund system,systemic_or_organizational_practice
objective,calculating dynamic material flow,methodological_knowledge
technique,framework indicators,research_or_assessment_method
objective,determine recyclable ratio,methodological_knowledge
technique,element design,ambiguous_context_required
technique,recycling and second life,systemic_or_organizational_practice
technique,multi-level scale,research_or_assessment_method
objective,sustainable design material recovery,material_technical
objective,mutual benefits,economic_business
technique,acetic acid leaching,material_process_or_technology
objective,evaluate the practicality of an analytical method,methodological_knowledge
technique,circular economy paths,systemic_or_organizational_practice
objective,business knowledge management,economic_business
objective,change in mindset enhanced integration,social_behavioral_educational
technique,hydrogen reduction,material_process_or_technology
technique,mutual learning,systemic_or_organizational_practice
objective,developing implementation tools,methodological_knowledge
objective,analyze organisations behaviour,social_behavioral_educational
objective,consumer satisfaction,social_behavioral_educational
objective,clarify legal basis,governance_institutional
technique,function management,systemic_or_organizational_practice
objective,shape future policies,governance_institutional
objective,managerial practices assessment,ambiguous_context_required
objective,knowledge transfer,social_behavioral_educational
technique,review building sector models,research_or_assessment_method
technique,carbon direct avoidance smart carbon usage,systemic_or_organizational_practice
technique,nature-based solutions,ambiguous_context_required
technique,transdisciplinary integration,systemic_or_organizational_practice
technique,sustainable innovations,ambiguous_context_required
technique,waste reduction,systemic_or_organizational_practice
technique,lean management,systemic_or_organizational_practice
technique,waste footprint analysis,research_or_assessment_method
technique,hpp-assisted extraction,material_process_or_technology
objective,methylene blue removal,environmental
objective,profit and environment,general_cross_domain
technique,scientific management,systemic_or_organizational_practice
objective,sustainability in b2b,economic_business
objective,electricity access,social_behavioral_educational
technique,integrated construction,systemic_or_organizational_practice
objective,adapting private law,governance_institutional
technique,circular economic chains,systemic_or_organizational_practice
objective,agricultural cycle economy development,general_cross_domain
objective,develop theory,methodological_knowledge
objective,organizational development,governance_institutional
technique,computer vision,ambiguous_context_required
objective,economic and environmental welfare,general_cross_domain
objective,financial support,economic_business
technique,electron microscopy xrd analysis,research_or_assessment_method
objective,removal of fluoride and arsenic,environmental
objective,optimize abp management enhance biogas yield,material_technical
objective,establish operational mechanism,ambiguous_context_required
technique,precision agriculture genomic technologies improved breeding programmes farm mechanisation rd,ambiguous_context_required
objective,identify leading countries,methodological_knowledge
objective,shape consumer perceptions,social_behavioral_educational
technique,business and environmental management framework,systemic_or_organizational_practice
technique,360 model,ambiguous_context_required
objective,spatiotemporal evolution characteristics,methodological_knowledge
objective,environmental resilience,environmental
objective,circular development,general_cross_domain
technique,boat design,ambiguous_context_required
technique,environmental balances analysis,research_or_assessment_method
objective,socio-environmental impact,environmental
objective,competitive edges,economic_business
